p1;p2;p3;FD
0.0;1.0;0.1;-0.0
0.0;1.0;0.2;-0.0
0.0;1.0;0.3;-0.0
0.0;1.0;0.4;-0.0
0.0;1.0;0.5;-0.0
0.0;1.0;0.6;-0.0
0.0;1.0;0.7;-0.0
0.0;1.0;0.8;-0.0
0.0;1.0;0.9;-0.0
0.0;1.0;1.0;-0.0
0.1;0.0;0.0;-0.0
0.1;0.0;0.1;-0.0
0.1;0.0;0.2;-0.0
0.1;0.0;0.3;-0.0
0.1;0.0;0.4;-0.0
0.1;0.0;0.5;-0.0
0.1;0.0;0.6;-0.0
0.1;0.0;0.7;-0.0
0.1;0.0;0.8;-0.0
0.1;0.0;0.9;-0.0
0.1;0.0;1.0;-0.0
0.1;0.1;0.0;-0.0
0.1;0.1;0.1;0.9476887584039526
0.1;0.1;0.2;0.8660137478732691
0.1;0.1;0.3;0.9838279145281356
0.1;0.1;0.4;1.0483940909379812
0.1;0.1;0.5;1.0351249684889463
0.1;0.1;0.6;1.0701232688456304
0.1;0.1;0.7;1.096868928566041
0.1;0.1;0.8;0.9090726349477792
0.1;0.1;0.9;1.001403538752792
0.1;0.1;1.0;0.8949875002403855
0.1;0.2;0.0;-0.0
0.1;0.2;0.1;1.159613671653714
0.1;0.2;0.2;1.064234197770998
0.1;0.2;0.3;1.175130811575728
0.1;0.2;0.4;1.2065918350648286
0.1;0.2;0.5;1.154045451320488
0.1;0.2;0.6;1.2136288345068122
0.1;0.2;0.7;1.125407613235455
0.1;0.2;0.8;1.1252024134723395
0.1;0.2;0.9;1.2529428560082905
0.1;0.2;1.0;1.125859941956345
0.1;0.3;0.0;-0.0
0.1;0.3;0.1;1.1279340446210886
0.1;0.3;0.2;1.2079228302146006
0.1;0.3;0.3;1.1450737458218587
0.1;0.3;0.4;1.2675608455061371
0.1;0.3;0.5;1.3079128613428268
0.1;0.3;0.6;1.2361872830113712
0.1;0.3;0.7;1.2517468352452257
0.1;0.3;0.8;1.2753066199608802
0.1;0.3;0.9;1.3196873754830842
0.1;0.3;1.0;1.28957808619542
0.1;0.4;0.0;-0.0
0.1;0.4;0.1;1.3059814342346006
0.1;0.4;0.2;1.4173899437144497
0.1;0.4;0.3;1.4285278142363511
0.1;0.4;0.4;1.395073485119043
0.1;0.4;0.5;1.4158061090399083
0.1;0.4;0.6;1.3338615538066727
0.1;0.4;0.7;1.3592741226219445
0.1;0.4;0.8;1.3846177461063165
0.1;0.4;0.9;1.2711903558956537
0.1;0.4;1.0;1.288389417492338
0.1;0.5;0.0;-0.0
0.1;0.5;0.1;1.3793528770634345
0.1;0.5;0.2;1.3735196661167683
0.1;0.5;0.3;1.3349708770666315
0.1;0.5;0.4;1.3055926927118555
0.1;0.5;0.5;1.427441811629281
0.1;0.5;0.6;1.2494630951506829
0.1;0.5;0.7;1.4549349008678087
0.1;0.5;0.8;1.4226438859744677
0.1;0.5;0.9;1.4028549151283751
0.1;0.5;1.0;1.40832639410966
0.1;0.6;0.0;-0.0
0.1;0.6;0.1;1.4138765747567734
0.1;0.6;0.2;1.477475366801307
0.1;0.6;0.3;1.5167574288068228
0.1;0.6;0.4;1.379986730791685
0.1;0.6;0.5;1.4896494715333604
0.1;0.6;0.6;1.4735021267264077
0.1;0.6;0.7;1.4935684111534775
0.1;0.6;0.8;1.481456587675539
0.1;0.6;0.9;1.4283936770875416
0.1;0.6;1.0;1.5773319999823865
0.1;0.7;0.0;-0.0
0.1;0.7;0.1;1.376651352164756
0.1;0.7;0.2;1.2918225589783146
0.1;0.7;0.3;1.4229834960438843
0.1;0.7;0.4;1.4503164240790818
0.1;0.7;0.5;1.4539861611032792
